Initialized
Press Enter to quit...
Connected
Frame id: 232878, timestamp: 1554657658361777, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232879, timestamp: 1554657658379083, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232880, timestamp: 1554657658396431, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232881, timestamp: 1554657658413733, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232882, timestamp: 1554657658431054, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232883, timestamp: 1554657658448442, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232884, timestamp: 1554657658465780, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232885, timestamp: 1554657658483143, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232886, timestamp: 1554657658500430, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232887, timestamp: 1554657658517777, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232888, timestamp: 1554657658535194, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232889, timestamp: 1554657658552516, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232890, timestamp: 1554657658569867, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232891, timestamp: 1554657658587187, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232892, timestamp: 1554657658604552, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232893, timestamp: 1554657658621924, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232894, timestamp: 1554657658639265, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232895, timestamp: 1554657658656535, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232896, timestamp: 1554657658673875, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232897, timestamp: 1554657658691223, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232898, timestamp: 1554657658708640, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232899, timestamp: 1554657658725951, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232900, timestamp: 1554657658743293, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232901, timestamp: 1554657658760603, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232902, timestamp: 1554657658777988, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232903, timestamp: 1554657658795242, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232904, timestamp: 1554657658812684, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232905, timestamp: 1554657658830011, hands: 0, fingers: 0, tools: 0, gestures: 0
