65,69,55,60,66,56,55,53
62,65,51,53,64,55,44,46
61,54,50,52,59,60,42,43
57,53,46,47,65,57,45,42
61,56,43,48,62,54,46,40
56,51,38,46,62,53,43,42
59,51,38,44,67,49,45,44
59,54,41,45,73,44,45,53
63,59,45,49,71,49,43,57
61,59,48,59,76,49,43,56
59,63,53,58,83,47,40,61
60,65,54,62,80,55,48,62
59,70,54,61,74,53,46,57
58,68,52,61,73,52,48,52
51,65,49,54,70,51,47,50
51,63,48,56,55,54,52,44
54,61,49,57,64,53,49,46
53,57,50,61,67,54,52,48
54,56,50,61,68,53,53,55
54,57,54,63,71,53,55,57
56,56,53,59,72,52,53,61
47,56,49,57,70,48,52,59
47,54,46,55,72,48,51,57
55,58,49,52,67,47,46,57
57,63,45,54,64,46,45,56
63,65,47,56,72,46,44,53
65,68,49,56,73,42,42,49
67,68,48,53,69,42,40,47
63,66,45,66,76,48,50,45
65,62,50,62,75,50,47,41
57,63,50,66,70,50,46,42
59,66,50,64,65,53,47,46
60,71,54,69,65,52,51,46
56,71,54,65,57,46,42,52
56,68,54,65,56,44,47,55
63,69,52,60,52,44,50,52
62,68,56,62,66,47,50,54
67,70,55,61,77,48,50,58
71,78,57,58,85,55,52,53
74,103,58,57,85,70,51,54
74,108,66,68,99,102,47,62
82,119,71,80,93,125,48,65
96,139,78,96,99,140,55,74
107,145,83,108,99,140,58,78
117,132,82,129,103,136,60,85
123,148,81,128,92,115,62,83
126,146,78,127,90,92,59,84
122,129,90,141,84,74,52,79
113,126,92,135,85,72,51,74
102,145,92,143,90,70,53,70
97,147,90,145,92,85,52,66
163,190,421,425,277,215,55,68
203,282,556,569,365,373,67,89
209,282,582,613,378,407,66,93
213,280,626,642,396,420,62,97
218,337,636,657,399,423,66,135
194,395,509,532,308,383,65,132
148,394,373,377,196,269,51,120
145,398,336,304,178,326,63,131
161,483,251,243,161,412,95,148
202,588,250,210,273,569,102,127
191,570,224,203,298,594,107,140
253,704,191,187,323,591,109,137
270,749,192,181,321,550,103,130
280,740,186,156,311,491,79,110
259,648,150,136,228,318,67,94
250,620,108,92,188,269,59,72
186,418,105,85,144,246,56,72
158,350,80,77,142,220,52,58
109,248,71,66,130,196,46,48
77,185,60,67,103,142,46,50
70,183,50,65,105,110,41,46
65,172,49,66,139,123,40,43
95,260,59,90,139,188,41,43
124,318,61,117,161,185,37,42
148,350,63,128,160,190,37,43
152,359,65,131,159,197,38,45
170,418,61,130,126,192,38,48
160,369,55,119,120,126,40,47
141,323,58,89,90,123,44,50
118,300,56,67,90,114,45,53
129,333,64,61,85,108,51,53
61,1230,714,461,1262,146,47,95
67,1046,759,452,1119,128,46,106
81,940,641,617,842,111,45,104
97,844,653,658,508,98,45,105
100,777,671,659,427,99,44,97
94,692,708,598,396,92,37,74
105,659,626,550,359,98,39,61
102,599,538,337,332,98,39,56
112,375,462,226,195,88,36,59
151,498,397,229,148,82,35,49
165,650,191,213,153,91,38,50
213,801,252,380,215,92,40,146
311,1049,431,625,380,122,45,273
366,1181,519,818,499,134,51,341
644,1211,524,813,770,176,58,458
712,1226,527,821,886,188,78,584
828,1284,487,781,993,185,85,860
